year,sex,age,mortality_rate
1952,Female,38,0.01001468
1952,Male,39,0.01091189
1952,Female,39,0.01028978
1952,Male,40,0.01133905
1952,Female,40,0.01056138
1952,Male,41,0.01177734
1952,Female,41,0.0107916
1952,Male,42,0.01220829
1952,Female,42,0.01096135
1952,Male,43,0.01262607
1952,Female,43,0.01106682
1952,Male,44,0.01303833
1952,Female,44,0.01114101
1952,Male,45,0.01347623
1952,Female,45,0.01123926
1952,Male,46,0.01397405
1952,Female,46,0.01142006
1952,Male,47,0.01456461
1952,Female,47,0.01174367
1952,Male,48,0.01526963
1952,Female,48,0.01223526
1952,Male,49,0.01607941
1952,Female,49,0.01289468
1952,Male,50,0.01696966
1952,Female,50,0.01368546
1952,Male,51,0.01789175
1952,Female,51,0.0145356
1952,Male,52,0.01879916
1952,Female,52,0.01538636
1952,Male,53,0.01968145
1952,Female,53,0.01619511
1952,Male,54,0.02055328
1952,Female,54,0.01697893
1952,Male,55,0.02148925
1952,Female,55,0.01781531
1952,Male,56,0.02258203
1952,Female,56,0.01880637
1952,Male,57,0.02391883
1952,Female,57,0.02007987
1952,Male,58,0.02557975
1952,Female,58,0.02172159
1952,Male,59,0.02757317
1952,Female,59,0.02376612
1952,Male,60,0.02987282
1952,Female,60,0.02618044
1952,Male,61,0.03239215
1952,Female,61,0.02883203
1952,Male,62,0.03501462
1952,Female,62,0.03158027
1952,Male,63,0.0376871
1952,Female,63,0.03430047
1952,Male,64,0.04039719
1952,Female,64,0.0369646
1952,Male,65,0.0432566
1952,Female,65,0.03969627
1952,Male,66,0.04644802
1952,Female,66,0.04268741
1952,Male,67,0.05015308
1952,Female,67,0.04620446
1952,Male,68,0.05456086
1952,Female,68,0.05046359
1952,Male,69,0.05973863
1952,Female,69,0.0555677
1952,Male,70,0.06566842
1952,Female,70,0.06151102
1952,Male,71,0.07223202
1952,Female,71,0.06808891
1952,Male,72,0.0792201
1952,Female,72,0.07505251
1952,Male,73,0.08650483
1952,Female,73,0.08217308
1952,Male,74,0.09403005
1952,Female,74,0.08932175
1952,Male,75,0.10190796
1952,Female,75,0.09661044
1952,Male,76,0.11040409
1952,Female,76,0.10425172
1952,Male,77,0.11978818
1952,Female,77,0.112567
1952,Male,78,0.1303354
1952,Female,78,0.12184985
1952,Male,79,0.14218963
1952,Female,79,0.13224327
1952,Male,80,0.15534588
1952,Female,80,0.14379565
1952,Male,81,0.16968673
1952,Female,81,0.15636249
1952,Male,82,0.18496009
1952,Female,82,0.16974101
1952,Male,83,0.20090424
1952,Female,83,0.18372457
1952,Male,84,0.21727156
1952,Female,84,0.1981156
1952,Male,85,0.233868
1952,Female,85,0.21281714
1952,Male,86,0.25059576
1952,Female,86,0.2277892
1952,Male,87,0.26747994
1952,Female,87,0.24311277
1952,Male,88,0.28471888
1952,Female,88,0.25895125
1952,Male,89,0.30265658
1952,Female,89,0.27559147
1952,Male,90,0.32181697
1952,Female,90,0.29337425
1952,Male,91,0.34268692
1952,Female,91,0.31264246
1952,Male,92,0.36560766
1952,Female,92,0.33366896
1952,Male,93,0.39068302
1952,Female,93,0.35641737
1952,Male,94,0.41754715
1952,Female,94,0.38066666
1952,Male,95,0.44560898
1952,Female,95,0.40586231
1952,Male,96,0.47401711
1952,Female,96,0.43134732
1952,Male,97,0.50196292
1952,Female,97,0.45662766
1952,Male,98,0.5290119
1952,Female,98,0.48132876
1952,Male,99,0.5549117
1952,Female,99,0.50550648
1952,Male,100,0.60441251
1952,Female,100,0.55792136
1953,Male,0,0.2124025
1953,Female,0,0.17228765
1953,Male,1,0.05941805
1953,Female,1,0.05473041
1953,Male,2,0.03877233
1953,Female,2,0.03604068
1953,Male,3,0.02558124
1953,Female,3,0.02399008
1953,Male,4,0.01726427
1953,Female,4,0.01632575
1953,Male,5,0.01206644
1953,Female,5,0.01149657
1953,Male,6,0.00883525
1953,Female,6,0.00847767
1953,Male,7,0.00684082
1953,Female,7,0.00660806
1953,Male,8,0.00560998
1953,Female,8,0.0054584
1953,Male,9,0.00486626
1953,Female,9,0.00477646
1953,Male,10,0.00443627
1953,Female,10,0.00440381
1953,Male,11,0.00421786
1953,Female,11,0.00424868
1953,Male,12,0.00415205
1953,Female,12,0.00425362
1953,Male,13,0.00420461
1953,Female,13,0.00438131
1953,Male,14,0.00436307
1953,Female,14,0.00460429
1953,Male,15,0.00462471
1953,Female,15,0.00489734
1953,Male,16,0.0049938
1953,Female,16,0.00523524
1953,Male,17,0.00547713
1953,Female,17,0.00558952
1953,Male,18,0.00606694
1953,Female,18,0.00593637
1953,Male,19,0.00673592
1953,Female,19,0.00625318
1953,Male,20,0.00741886
1953,Female,20,0.0065295
1953,Male,21,0.00801774
1953,Female,21,0.00676082
1953,Male,22,0.00844764
1953,Female,22,0.00695134
1953,Male,23,0.00865046
1953,Female,23,0.00710976
1953,Male,24,0.00864571
1953,Female,24,0.00724852
1953,Male,25,0.00850444
1953,Female,25,0.00738162
1953,Male,26,0.00831603
1953,Female,26,0.00752187
1953,Male,27,0.00817065
1953,Female,27,0.0076806
1953,Male,28,0.00811396
1953,Female,28,0.00786036
1953,Male,29,0.00816235
1953,Female,29,0.00805919
1953,Male,30,0.00830525
1953,Female,30,0.00826635
1953,Male,31,0.00850941
1953,Female,31,0.0084677
1953,Male,32,0.00874563
1953,Female,32,0.00865413
1953,Male,33,0.00898823
1953,Female,33,0.0088204
1953,Male,34,0.00922709
1953,Female,34,0.00897482
1953,Male,35,0.00947035
1953,Female,35,0.00913242
1953,Male,36,0.00973162
1953,Female,36,0.00931029
1953,Male,37,0.01002996
1953,Female,37,0.00952503
1953,Male,38,0.01037584
1953,Female,38,0.00977609
1953,Male,39,0.01076693
1953,Female,39,0.01005201
1953,Male,40,0.01119275
1953,Female,40,0.0103252
1953,Male,41,0.01163113
1953,Female,41,0.01055961
1953,Male,42,0.0120646
1953,Female,42,0.01073695
1953,Male,43,0.01248751
1953,Female,43,0.01085354
1953,Male,44,0.01290702
1953,Female,44,0.01094089
1953,Male,45,0.0133531
1953,Female,45,0.011052
1953,Male,46,0.01385887
1953,Female,46,0.01124322
1953,Male,47,0.01445612
1953,Female,47,0.01157281
1953,Male,48,0.01516595
1953,Female,48,0.01206538
1953,Male,49,0.01597917
1953,Female,49,0.01272104
1953,Male,50,0.01687254
1953,Female,50,0.0135048
